Date,Future_Predicted_Confirmed,Future_Predicted_Recovered,Future_Predicted_Decreased
2020-07-07,570.9705274759058,713.9275953823351,13.97461557680124
2020-07-08,537.1449125497866,595.8523408436374,14.196198166060906
2020-07-09,551.7137185929569,776.7918233894794,15.016071382023586
2020-07-10,550.7371289799703,673.8518548194198,12.904359145672512
2020-07-11,599.2143085326302,652.5258888941444,15.023178820011067
2020-07-12,689.027049451301,756.8013737320102,15.865033395928489
2020-07-13,603.8456336534471,717.2278657999797,15.199292653665687
2020-07-14,568.0883458766648,727.4504180789603,22.57835392605543
2020-07-15,619.7018404393248,721.2335653259422,15.54948517375213
2020-07-16,575.8005436455488,708.8500727165033,15.874923696051864
2020-07-17,643.7065658288428,703.2942114319957,14.978982212655847
2020-07-18,615.2819614141297,697.6036553758238,14.648577109004831
2020-07-19,550.3242881843047,746.0209762154018,15.549454745392953
2020-07-20,623.5630971228501,748.0552852682374,15.851043252694431
2020-07-21,615.4270349491968,825.1543580401732,16.68204485000084
2020-07-22,615.5034777839904,947.4345736257973,14.568850369013289
2020-07-23,584.0963615997707,895.4415579936134,16.68896932359362
2020-07-24,595.0606699787553,962.99917562642,17.53066020442861
2020-07-25,618.3520539814352,946.7405231696564,16.865283879016605
2020-07-26,664.3672016643719,941.644171436754,24.252371488792534
2020-07-27,802.7679558639168,833.584883112237,17.211506573606425
2020-07-28,694.7194997123257,996.9969172996623,17.53838678477908
2020-07-29,662.7489555652006,899.6332877878203,16.644733899451044
2020-07-30,727.3377558021457,883.7173063797395,16.313969412052728
2020-07-31,625.1395165189019,980.2272726104393,17.211476113115587
