Date,Future_Predicted_Confirmed,Future_Predicted_Recovered,Future_Predicted_Deceased
2020-07-07,739.0274170685983,389.5766045312472,13.219007470484119
2020-07-08,717.8352583169137,372.6596899195469,15.994200010758018
2020-07-09,730.68780508265,449.78355782223497,13.931531607394474
2020-07-10,829.3731489321237,333.0590195110629,14.279018679689441
2020-07-11,821.8017533890387,454.963942444691,11.901915888344654
2020-07-12,798.915768615135,347.4647578504068,13.027993490452829
2020-07-13,812.9220487337648,645.6900440056702,13.637973871252223
2020-07-14,916.3807497743828,521.581081213774,17.98766003780073
2020-07-15,908.8362547250246,512.9926800520054,12.082396651304421
2020-07-16,884.2559135040086,460.2600974663852,15.905606999841716
2020-07-17,899.4531945713599,473.5459541517823,16.059392800761685
2020-07-18,1007.7207177542776,553.1688683319321,18.538903333119876
2020-07-19,1000.228982575868,445.90092776215147,16.707505090045444
2020-07-20,973.9541022355439,541.0677533674186,17.140553600876082
2020-07-21,990.3801782890964,447.8668484546704,15.162096503703582
2020-07-22,1103.4925967211032,708.4767397613098,16.564760408365363
2020-07-23,1096.0801278781194,618.7961387277792,16.587726881916524
2020-07-24,1068.1112085631278,576.2613154597126,20.53207775711371
2020-07-25,1085.8045247688378,546.9361114025654,15.141305352707047
2020-07-26,1203.7985658625767,545.3874380765786,19.016120044334478
2020-07-27,1196.4925337355623,623.9661601297279,19.22676940648089
2020-07-28,1166.8307642720954,511.9889221663259,21.820938001945862
2020-07-29,1185.8304187393087,620.2047732313446,19.899858993984637
2020-07-30,1308.7434645024546,519.9999400551384,20.29972892594846
2020-07-31,1301.571703099774,798.886440675775,18.166687031811637
